geometry,geometry_vertex_count,GMDE,BEZIRK,KT,Gemeinde,import_notes
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.60453202753,47.6123115666,0 8.60614296913,47.6178096646,0 8.59923043632,47.6284127974,0 8.59674344359,47.6443236946,0 8.6083626616,47.6539133281,0 8.61514825396,47.6459197524,0 8.60402895464,47.6408864776,0 8.60787505483,47.6384460034,0 8.61715451054,47.6391617644,0 8.62415313876,47.6420320415,0 8.62937121136,47.6497507699,0 8.63736145055,47.6481033299,0 8.63911331333,47.6449277954,0 8.64237702119,47.6397575378,0 8.62139786543,47.6312924818,0 8.6310774136,47.6261739038,0 8.62262022237,47.6186862015,0 8.62154268436,47.6067599978,0 8.6089614889,47.6038470739,0 8.60453202753,47.6123115666,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",20,38,102,1,Rheinau,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.73540970998,47.5769360719,0 8.71914529894,47.5888474977,0 8.72678947858,47.5926040812,0 8.72740085624,47.5975180313,0 8.73375408041,47.5978970571,0 8.74014142375,47.589360415,0 8.74934515133,47.5937367254,0 8.76316183898,47.5942364537,0 8.7638539814,47.5766863979,0 8.76970914699,47.5684239406,0 8.7467025529,47.5755497749,0 8.74327886943,47.5720169516,0 8.73540970998,47.5769360719,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",13,39,102,1,Thalheim an der Thur,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.67139746398,47.6679959217,0 8.6785974306,47.6672266218,0 8.68925001168,47.6513791301,0 8.71836817224,47.6431996132,0 8.7137925774,47.6355946264,0 8.70533656403,47.6359570875,0 8.68963943028,47.6283910473,0 8.68274915814,47.6313527259,0 8.66818992574,47.6307702337,0 8.65783627987,47.6417641401,0 8.67001264713,47.6525292802,0 8.67139746398,47.6679959217,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,40,102,1,Trüllikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.71836817224,47.6431996132,0 8.73302706893,47.6433339462,0 8.74834684065,47.6400405874,0 8.74571817846,47.6289784289,0 8.72492700175,47.6238492577,0 8.71243489794,47.6311566552,0 8.7137925774,47.6355946264,0 8.71836817224,47.6431996132,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",8,41,102,1,Truttikon,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.76613115987,47.6502016945,0 8.77745012586,47.6503146045,0 8.78712842108,47.6565806055,0 8.78970492113,47.6667698405,0 8.79968297653,47.6663834559,0 8.80418979146,47.6666004224,0 8.80602568367,47.6536248677,0 8.815862399,47.6509717708,0 8.80188216776,47.6447137462,0 8.79026101745,47.6316617287,0 8.78104295808,47.6297446519,0 8.77568623998,47.6336926937,0 8.7745151192,47.6447890194,0 8.76613115987,47.6502016945,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,42,102,1,Unterstammheim,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.61855388973,47.5680639294,0 8.61413391051,47.5695481527,0 8.62105279415,47.5734359266,0 8.62232346744,47.581537121,0 8.6316110784,47.5871902174,0 8.6427642598,47.5888201225,0 8.65027823708,47.5876983543,0 8.63929973404,47.5790956526,0 8.63229320636,47.5666728607,0 8.61855388973,47.5680639294,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",10,43,102,1,Volken,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.78901468289,47.610940684,0 8.76333998392,47.6194859132,0 8.75616944443,47.6189918223,0 8.75069975605,47.6227061088,0 8.75588103065,47.6250582899,0 8.75465187559,47.6280768389,0 8.74571817846,47.6289784289,0 8.74834684065,47.6400405874,0 8.76613115987,47.6502016945,0 8.7745151192,47.6447890194,0 8.77568623998,47.6336926937,0 8.78104295808,47.6297446519,0 8.79107790074,47.6162062574,0 8.78901468289,47.610940684,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",14,44,102,1,Waltalingen,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.52417731374,47.4989543367,0 8.52344998489,47.5003914902,0 8.55781897772,47.5161669681,0 8.56324087966,47.5119673626,0 8.56754154872,47.5125282425,0 8.56657300102,47.5038026883,0 8.56229585171,47.50055178,0 8.53829039133,47.4958525253,0 8.54069698123,47.4890017706,0 8.53261411213,47.4902838848,0 8.52417731374,47.4989543367,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",11,51,103,1,Bachenbülach,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.60416473857,47.4405660383,0 8.61331186075,47.4584837371,0 8.6191568007,47.4612580143,0 8.62682706961,47.4596051727,0 8.65189615254,47.4391665159,0 8.65968137097,47.4369254771,0 8.65954505428,47.4217322226,0 8.63346615398,47.4321344537,0 8.62940183265,47.4312137861,0 8.62753933686,47.4356770738,0 8.61201577223,47.4357996495,0 8.60416473857,47.4405660383,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",12,52,103,1,Bassersdorf,
"<Polygon><outerBoundaryIs><LinearRing><coordinates>8.52344998489,47.5003914902,0 8.51618999538,47.5076649195,0 8.52313818691,47.5104877104,0 8.52124557243,47.5133930659,0 8.52443332426,47.5361944431,0 8.5180656581,47.5457713803,0 8.53024418515,47.5500561961,0 8.52873902231,47.56217852,0 8.53554543809,47.5616195543,0 8.55197883203,47.5517925164,0 8.55290581823,47.5421401886,0 8.57647628706,47.5199073694,0 8.57641406032,47.5138987458,0 8.57163757073,47.510958945,0 8.56754154872,47.5125282425,0 8.56324087966,47.5119673626,0 8.55781897772,47.5161669681,0 8.52344998489,47.5003914902,0</coordinates></LinearRing></outerBoundaryIs></Polygon>",18,53,103,1,Bülach,
